date_tag,company_id,company_code,company_name,affected_documents_count,remediable_rows_count,scope,generated_at_utc,report_file,remediation_file
20260503,2,EM-100101,Integra360 SpA,0,0,company_2,2026-05-03T02:41:10.740Z,prisma/audit-report-missing-document-movements-company-2-20260503.json,prisma/remediation-batch-missing-document-movements-company-2-20260503.sql
20260503,3,EM-100102,Comercial Andes SpA,0,0,company_3,2026-05-03T02:41:10.970Z,prisma/audit-report-missing-document-movements-company-3-20260503.json,prisma/remediation-batch-missing-document-movements-company-3-20260503.sql
20260503,4,EM-100103,Servicios del Pacífico Ltda.,0,0,company_4,2026-05-03T02:41:11.228Z,prisma/audit-report-missing-document-movements-company-4-20260503.json,prisma/remediation-batch-missing-document-movements-company-4-20260503.sql
20260503,5,EM-100104,Tecnologías del Sur S.A.,0,0,company_5,2026-05-03T02:41:11.509Z,prisma/audit-report-missing-document-movements-company-5-20260503.json,prisma/remediation-batch-missing-document-movements-company-5-20260503.sql
20260503,6,EM-100105,Constructora Altavista Ltda,0,0,company_6,2026-05-03T02:41:11.924Z,prisma/audit-report-missing-document-movements-company-6-20260503.json,prisma/remediation-batch-missing-document-movements-company-6-20260503.sql
20260503,7,EM-100107,Distribuidora Norte SpA,0,0,company_7,2026-05-03T02:41:12.207Z,prisma/audit-report-missing-document-movements-company-7-20260503.json,prisma/remediation-batch-missing-document-movements-company-7-20260503.sql
20260503,8,EM-100108,AgroCampos S.A.,0,0,company_8,2026-05-03T02:41:12.447Z,prisma/audit-report-missing-document-movements-company-8-20260503.json,prisma/remediation-batch-missing-document-movements-company-8-20260503.sql
20260503,9,EM-100109,Logística Express Ltda,0,0,company_9,2026-05-03T02:41:12.694Z,prisma/audit-report-missing-document-movements-company-9-20260503.json,prisma/remediation-batch-missing-document-movements-company-9-20260503.sql
20260503,10,EM-100110,Farmacias del Centro SpA,0,0,company_10,2026-05-03T02:41:12.942Z,prisma/audit-report-missing-document-movements-company-10-20260503.json,prisma/remediation-batch-missing-document-movements-company-10-20260503.sql
20260503,11,EM-100111,Panadería La Espiga Ltda,0,0,company_11,2026-05-03T02:41:13.177Z,prisma/audit-report-missing-document-movements-company-11-20260503.json,prisma/remediation-batch-missing-document-movements-company-11-20260503.sql
